DateTime,Open,Close,High,Low
2021-01-13,3128.44,3165.89,3189.95,3122.08
2021-01-14,3167.52,3127.47,3177.9999,3120.59
2021-01-15,3123.02,3104.25,3142.545,3095.17
2021-01-19,3107,3120.76,3145,3096
2021-01-20,3181.99,3263.38,3279.8,3175
2021-01-21,3293,3306.99,3348.55,3289.5675
2021-01-22,3304.31,3292.23,3321.91,3283.1644
2021-01-25,3328.5,3294,3363.89,3243.1463
2021-01-26,3296.3559,3326.13,3338,3282.87
2021-01-27,3341.49,3232.58,3346.52,3207.08
2021-01-28,3235.04,3237.62,3301.68,3228.69
2021-01-29,3230,3206.2,3236.99,3184.55
2021-02-01,3242.36,3342.88,3350.26,3235.025
2021-02-02,3380,3380,3427.74,3361.125
2021-02-03,3425.01,3312.53,3434,3308.62
2021-02-04,3330,3331,3347,3277.75
2021-02-05,3319,3352.15,3377,3302.71
2021-02-08,3358.5,3322.94,3364.9999,3304
2021-02-09,3312.49,3305,3338,3297.84
2021-02-10,3314,3286.58,3317.9548,3254
2021-02-11,3292,3262.13,3292,3248.06
2021-02-12,3250,3277.71,3280.25,3233.31
2021-02-16,3254.05,3268.95,3308.3,3253.591
2021-02-17,3263.6,3308.64,3320.91,3259.4996
2021-02-18,3282.42,3328.23,3338,3273.94
2021-02-19,3328.23,3249.9,3333.5,3245.75
2021-02-22,3208.13,3180.74,3232.3199,3172.26
2021-02-23,3127.03,3194.5,3204.73,3093.6
2021-02-24,3166.75,3159.53,3171.23,3125.38
2021-02-25,3136.74,3057.16,3178.26,3047.76
2021-02-26,3095.2,3092.93,3122.44,3036.7
2021-03-01,3127.89,3146.14,3149.56,3097.99
2021-03-02,3143.47,3094.53,3163.52,3087.1201
2021-03-03,3081.18,3005,3107.775,2995
2021-03-04,3012,2977.57,3058.13,2945.43
2021-03-05,3005,3000.46,3009,2881.0001
2021-03-08,3015,2951.95,3064.59,2951.31
2021-03-09,3017.99,3062.85,3090.96,3005.1474
2021-03-10,3098.45,3057.64,3116.46,3030.05
2021-03-11,3104.01,3113.59,3131.7843,3082.93
2021-03-12,3075,3089.49,3098.98,3045.5
2021-03-15,3074.57,3081.68,3082.24,3032.09
2021-03-16,3104.97,3091.86,3128.91,3075.8601
2021-03-17,3073.22,3135.73,3173.05,3070.22
2021-03-18,3101,3027.99,3116.63,3025
2021-03-19,3029.2,3074.96,3077.285,3016.63
2021-03-22,3067.85,3110.87,3126.58,3060.05
2021-03-23,3127,3137.5,3182,3120.8501
2021-03-24,3151.04,3087.07,3160.31,3085.15
2021-03-25,3072.99,3046.26,3109.78,3037.14
2021-03-26,3044.06,3052.03,3056.66,2996
2021-03-29,3055.4394,3075.73,3091.25,3028.445
2021-03-30,3070.01,3055.29,3073,3034
2021-03-31,3064.06,3094.08,3119.33,3062.5
2021-04-01,3117.94,3161,3162.44,3115.55
2021-04-05,3173,3226.73,3235.955,3161.24
2021-04-06,3223.75,3223.82,3247.31,3217.04
2021-04-07,3233.8,3279.39,3303.6125,3223.65
2021-04-08,3310.9,3299.3,3324.5,3292
2021-04-09,3304.7,3372.2,3372.2,3288.9
2021-04-12,3355.21,3379.39,3395.04,3351.15
2021-04-13,3400.845,3400,3432,3395.63
2021-04-14,3404.04,3333,3404.13,3326
2021-04-15,3371,3379.09,3396.9999,3352
2021-04-16,3380,3399.44,3406.8,3355.59
2021-04-19,3390.33,3372.01,3435.9333,3360.16
2021-04-20,3373.6,3334.69,3382.99,3316
2021-04-21,3316,3362.02,3362.86,3303.8061
2021-04-22,3371.68,3309.04,3372.87,3301.45
2021-04-23,3319.1,3340.88,3375,3308.5
2021-04-26,3348,3409,3428.45,3330.94
2021-04-27,3443.47,3417.43,3460,3398.01
2021-04-28,3434.8,3458.5,3489.88,3425
2021-04-29,3505.0981,3471.31,3514.445,3435
2021-04-30,3525.12,3467.42,3554,3462.5
2021-05-03,3484.73,3386.49,3486.645,3372.7012
2021-05-04,3356.19,3311.87,3367.975,3272.13
2021-05-05,3338.855,3270.54,3354.695,3264.36
2021-05-06,3270,3306.37,3314.4,3247.2
2021-05-07,3319.09,3291.61,3330.89,3289.0704
2021-05-10,3282.32,3190.49,3283,3190
2021-05-11,3136.28,3223.91,3238,3127.37
2021-05-12,3185,3151.94,3207.94,3133.1
2021-05-13,3185.47,3161.47,3203.84,3133
2021-05-14,3185.56,3222.9,3228.86,3183
2021-05-17,3245.93,3270.39,3292.75,3234.59
2021-05-18,3292.575,3232.28,3312,3230.37
2021-05-19,3195,3231.8,3234.75,3184
2021-05-20,3244.4042,3247.68,3259.6799,3236.18
2021-05-21,3250,3203.08,3256.6946,3197.01
2021-05-24,3215.5,3244.99,3257.95,3210.4993
2021-05-25,3266.67,3259.05,3279.82,3213.76
2021-05-26,3274.5905,3265.16,3295.73,3258.51
2021-05-27,3256,3230.11,3260.355,3230.04
2021-05-28,3242,3223.07,3247.99,3219.7
2021-06-01,3243.495,3218.65,3250.98,3209.06
2021-06-02,3223.1,3233.99,3235,3208
2021-06-03,3204.23,3187.01,3214.435,3184.03
2021-06-04,3212,3206.22,3221,3198.81
2021-06-07,3197.33,3198.01,3208,3172.2
2021-06-08,3222.61,3264.11,3279.5321,3218.01
2021-06-09,3272.87,3281.15,3297.58,3270.7
2021-06-10,3282.01,3349.65,3351,3281.15
2021-06-11,3349.65,3346.83,3366.58,3333.45
2021-06-14,3346.83,3383.87,3385,3335.5
2021-06-15,3384,3383.13,3396.9866,3363.1101
2021-06-16,3392,3415.25,3426.35,3360.53
2021-06-17,3403.18,3489.24,3497.2,3401
2021-06-18,3479.99,3486.9,3507,3473.71
2021-06-21,3476.42,3453.96,3482,3434
2021-06-22,3458.06,3505.44,3523.78,3456.09
2021-06-23,3505,3503.82,3521,3483.2
2021-06-24,3507.64,3449.08,3524.8599,3430.85
2021-06-25,3464,3401.46,3464.82,3394.18
2021-06-28,3416,3443.89,3448,3413.5098
2021-06-29,3438.82,3448.14,3456.03,3423.03
2021-06-30,3441.06,3440.16,3471.6019,3435
2021-07-01,3434.61,3432.97,3457,3409.4206
2021-07-02,3451.64,3510.98,3511.72,3436.92
2021-07-06,3530.11,3675.74,3685.48,3529
2021-07-07,3717.3772,3696.58,3734.2,3678.91
2021-07-08,3643.56,3731.41,3759.9855,3621.12
2021-07-09,3722.52,3719.34,3748,3693.3968
2021-07-12,3744,3718.55,3757.2899,3696.7929
2021-07-13,3702.1,3677.36,3773.0782,3671.32
2021-07-14,3708.85,3681.68,3717.66,3660.8266
2021-07-15,3694.2,3631.2,3695.4,3620.92
2021-07-16,3633.31,3573.63,3646.0599,3570.455
2021-07-19,3532.58,3549.59,3550.21,3499.16
2021-07-20,3567.32,3573.19,3592,3518
2021-07-21,3576.375,3585.2,3586.45,3543.6415
2021-07-22,3587.23,3638.03,3640.02,3582.27
2021-07-23,3640,3656.64,3666.11,3622.04
2021-07-26,3673.17,3699.82,3712.08,3647.25
2021-07-27,3698.5,3626.39,3698.5,3586.15
2021-07-28,3633.78,3630.32,3658.4204,3601
2021-07-29,3627.75,3599.92,3637.95,3580.01
2021-07-30,3347.95,3327.59,3368.14,3306.98
2021-08-02,3353.1,3331.48,3358.92,3317
2021-08-03,3340.72,3366.24,3391,3299.77
